epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8296,3.04013,3.69824,3.3967,0.42981,0.26367,0.2604,0.11161,2.40133,2.47438,2.88664,0.0700365,0.00332928,0.00332928
2,125.159,2.28723,2.41533,2.53711,0.60037,0.43635,0.46723,0.20578,2.01375,1.99675,2.37855,0.0400145,0.00664062,0.00664062
3,181.294,1.98279,2.0337,2.17594,0.66549,0.44882,0.50029,0.2405,1.85814,1.94916,2.1764,0.00997052,0.00992997,0.00992997
4,237.418,1.82325,1.78707,1.98903,0.75222,0.58736,0.66464,0.35423,1.629,1.49226,1.92473,0.009901,0.009901,0.009901
5,293.32,1.73285,1.62746,1.87499,0.79258,0.6275,0.72002,0.39113,1.55681,1.33493,1.82086,0.009868,0.009868,0.009868
6,348.838,1.66598,1.50398,1.80009,0.77242,0.59648,0.70498,0.37389,1.5702,1.35827,1.79746,0.009835,0.009835,0.009835
7,404.536,1.6385,1.4365,1.76287,0.77513,0.69249,0.76326,0.42916,1.53142,1.16728,1.74681,0.009802,0.009802,0.009802
8,460.346,1.60614,1.37546,1.71529,0.81784,0.69337,0.78176,0.43883,1.49148,1.1166,1.7084,0.009769,0.009769,0.009769
9,516.192,1.58116,1.31938,1.69026,0.81154,0.69496,0.78067,0.42105,1.52077,1.1094,1.71958,0.009736,0.009736,0.009736
10,572.31,1.56572,1.29875,1.66634,0.83203,0.72605,0.80032,0.44815,1.45167,1.02717,1.64917,0.009703,0.009703,0.009703
11,628.975,1.54574,1.25188,1.64272,0.82523,0.72703,0.80837,0.46974,1.41939,1.00249,1.62847,0.00967,0.00967,0.00967
12,684.685,1.52605,1.22455,1.62584,0.82899,0.74088,0.80926,0.46668,1.42262,0.99746,1.60622,0.009637,0.009637,0.009637
13,740.391,1.52089,1.19468,1.60307,0.83046,0.74809,0.81954,0.45269,1.4482,1.00614,1.59604,0.009604,0.009604,0.009604
14,796.08,1.50747,1.1686,1.58948,0.85614,0.75767,0.82606,0.48694,1.38825,0.94253,1.5562,0.009571,0.009571,0.009571
15,851.723,1.50227,1.16811,1.58319,0.87173,0.75252,0.82792,0.48404,1.38499,0.92723,1.55003,0.009538,0.009538,0.009538
16,907.21,1.48624,1.14477,1.56176,0.82961,0.76359,0.8163,0.47513,1.4048,0.93679,1.56288,0.009505,0.009505,0.009505
17,963.077,1.47889,1.13614,1.54889,0.85657,0.77175,0.83781,0.49048,1.39298,0.90279,1.53948,0.009472,0.009472,0.009472
18,1018.79,1.48313,1.11469,1.5351,0.86959,0.77762,0.84464,0.49938,1.36841,0.87809,1.51039,0.009439,0.009439,0.009439
19,1074.13,1.47809,1.11314,1.53223,0.88547,0.77704,0.85569,0.50012,1.35738,0.86298,1.5045,0.009406,0.009406,0.009406
20,1129.36,1.45983,1.09099,1.52318,0.86346,0.77061,0.83948,0.48819,1.37997,0.88614,1.49729,0.009373,0.009373,0.009373
21,1184.84,1.45097,1.06734,1.50611,0.86474,0.76639,0.83934,0.49904,1.34202,0.8694,1.4843,0.00934,0.00934,0.00934
22,1239.93,1.45882,1.07352,1.51011,0.87631,0.79024,0.85485,0.50799,1.34725,0.84024,1.48049,0.009307,0.009307,0.009307
23,1295.33,1.45009,1.06685,1.50328,0.86015,0.79051,0.85307,0.51065,1.3307,0.84338,1.47424,0.009274,0.009274,0.009274
24,1350.83,1.45136,1.06029,1.49985,0.88965,0.77409,0.8577,0.50473,1.37343,0.83864,1.50107,0.009241,0.009241,0.009241
25,1406.22,1.43739,1.04793,1.48579,0.88575,0.79135,0.86107,0.52098,1.32183,0.82534,1.45967,0.009208,0.009208,0.009208
26,1461.69,1.43575,1.03053,1.48019,0.88538,0.8083,0.86844,0.51536,1.34888,0.80854,1.46633,0.009175,0.009175,0.009175
27,1517.27,1.43427,1.03411,1.47178,0.87698,0.7958,0.86146,0.5184,1.33047,0.80357,1.44768,0.009142,0.009142,0.009142
28,1573.12,1.42867,1.02662,1.46383,0.8875,0.79403,0.86452,0.51411,1.33609,0.80816,1.4534,0.009109,0.009109,0.009109
29,1628.89,1.43028,1.01945,1.47439,0.88878,0.794,0.86576,0.51638,1.33454,0.81595,1.44874,0.009076,0.009076,0.009076
30,1684.51,1.42201,1.013,1.45467,0.87885,0.80838,0.87001,0.53347,1.31415,0.78733,1.43206,0.009043,0.009043,0.009043
31,1740.45,1.42119,0.99472,1.45456,0.89025,0.79538,0.86606,0.52699,1.31068,0.78292,1.42348,0.00901,0.00901,0.00901
32,1796.13,1.4137,1.00796,1.44701,0.89563,0.80301,0.86767,0.5193,1.3234,0.78307,1.43281,0.008977,0.008977,0.008977
33,1851.66,1.41226,0.99017,1.43734,0.88494,0.81404,0.86737,0.51657,1.3273,0.77053,1.42739,0.008944,0.008944,0.008944
34,1907.24,1.41548,0.99382,1.43454,0.89846,0.79958,0.87114,0.53426,1.29068,0.77272,1.40695,0.008911,0.008911,0.008911
35,1962.91,1.40992,0.9926,1.43675,0.86363,0.81247,0.86727,0.51711,1.31751,0.77165,1.41545,0.008878,0.008878,0.008878
36,2018.66,1.40432,0.98367,1.43918,0.86774,0.81796,0.86999,0.53138,1.30135,0.75816,1.41263,0.008845,0.008845,0.008845
37,2074.78,1.40591,0.97995,1.42956,0.89444,0.81285,0.87731,0.52744,1.31414,0.75246,1.41016,0.008812,0.008812,0.008812
38,2130.17,1.38949,0.96834,1.42221,0.87623,0.81923,0.87444,0.52207,1.32142,0.76095,1.41034,0.008779,0.008779,0.008779
39,2185.57,1.3954,0.95751,1.41072,0.88216,0.82204,0.87927,0.52911,1.30433,0.74583,1.40017,0.008746,0.008746,0.008746
40,2241.58,1.39425,0.96724,1.41988,0.89531,0.7996,0.87171,0.53211,1.30635,0.75328,1.4016,0.008713,0.008713,0.008713
41,2296.88,1.39411,0.95967,1.41709,0.88775,0.81518,0.87402,0.52851,1.30768,0.74899,1.39597,0.00868,0.00868,0.00868
42,2352.32,1.37952,0.94992,1.40996,0.90032,0.82111,0.88305,0.54012,1.28645,0.72704,1.3823,0.008647,0.008647,0.008647
43,2407.75,1.37956,0.94658,1.39955,0.89399,0.8171,0.88032,0.537,1.29419,0.73525,1.37952,0.008614,0.008614,0.008614
44,2463.39,1.38233,0.95524,1.39838,0.88625,0.82556,0.88352,0.54659,1.27018,0.72773,1.36932,0.008581,0.008581,0.008581
45,2519.54,1.38153,0.95105,1.39888,0.89168,0.82085,0.88214,0.54294,1.27742,0.73098,1.37157,0.008548,0.008548,0.008548
46,2574.93,1.37615,0.93159,1.39716,0.88124,0.8267,0.87956,0.54059,1.26586,0.71623,1.36241,0.008515,0.008515,0.008515
47,2630.52,1.37384,0.94011,1.39654,0.89533,0.82163,0.88295,0.53388,1.29596,0.71557,1.37557,0.008482,0.008482,0.008482
48,2685.91,1.37386,0.93352,1.38729,0.89055,0.83111,0.88512,0.54029,1.28422,0.71225,1.36992,0.008449,0.008449,0.008449
49,2741.1,1.37195,0.93183,1.39205,0.8963,0.82255,0.88006,0.54685,1.25723,0.70875,1.35354,0.008416,0.008416,0.008416
50,2796.29,1.36743,0.92817,1.38345,0.89644,0.83122,0.88172,0.54533,1.26864,0.71592,1.35935,0.008383,0.008383,0.008383
51,2851.76,1.36832,0.92942,1.38274,0.89208,0.83824,0.88311,0.5556,1.24408,0.70565,1.34025,0.00835,0.00835,0.00835
52,2907.03,1.3771,0.93694,1.38228,0.88194,0.83135,0.87739,0.54459,1.25511,0.71,1.35028,0.008317,0.008317,0.008317
53,2962.37,1.37009,0.92661,1.38043,0.89987,0.82285,0.88454,0.5472,1.26639,0.70618,1.35202,0.008284,0.008284,0.008284
54,3018.29,1.36153,0.91671,1.37697,0.88881,0.83553,0.88887,0.55059,1.26204,0.70164,1.35179,0.008251,0.008251,0.008251
55,3074.35,1.35509,0.92349,1.37511,0.89833,0.83706,0.89035,0.55256,1.25311,0.68517,1.3427,0.008218,0.008218,0.008218
56,3129.76,1.35763,0.91232,1.3698,0.89108,0.82687,0.88483,0.54847,1.26305,0.69386,1.34568,0.008185,0.008185,0.008185
57,3185.01,1.35033,0.90611,1.36781,0.89209,0.84033,0.88575,0.54768,1.26197,0.69417,1.34096,0.008152,0.008152,0.008152
58,3240.22,1.36192,0.90443,1.35944,0.88922,0.83588,0.88485,0.54436,1.25549,0.6887,1.33632,0.008119,0.008119,0.008119
59,3295.95,1.35311,0.90131,1.36076,0.90396,0.8281,0.88951,0.54826,1.25704,0.68592,1.34004,0.008086,0.008086,0.008086
60,3351.68,1.35213,0.89948,1.36164,0.88216,0.84323,0.89089,0.55648,1.24222,0.68256,1.32991,0.008053,0.008053,0.008053
61,3407.18,1.35058,0.89489,1.35677,0.88632,0.84458,0.89135,0.54886,1.25369,0.68191,1.33676,0.00802,0.00802,0.00802
62,3462.73,1.35341,0.89784,1.35535,0.89387,0.8521,0.89108,0.55224,1.2457,0.67694,1.33297,0.007987,0.007987,0.007987
63,3518.56,1.34608,0.89135,1.3518,0.87964,0.85284,0.89279,0.55225,1.25248,0.67597,1.32751,0.007954,0.007954,0.007954
64,3574.17,1.34804,0.88746,1.3407,0.90322,0.83693,0.88954,0.55256,1.25482,0.67462,1.3257,0.007921,0.007921,0.007921
65,3629.46,1.34594,0.88668,1.35452,0.901,0.83565,0.88969,0.55012,1.25406,0.67433,1.33112,0.007888,0.007888,0.007888
66,3685.03,1.33725,0.8788,1.34178,0.89688,0.84075,0.891,0.55781,1.23823,0.67108,1.31457,0.007855,0.007855,0.007855
67,3740.44,1.34254,0.88194,1.34728,0.89934,0.84526,0.89201,0.557,1.24376,0.67113,1.31818,0.007822,0.007822,0.007822
68,3795.93,1.34072,0.88763,1.3401,0.88857,0.84992,0.89119,0.55565,1.24102,0.6632,1.31317,0.007789,0.007789,0.007789
69,3851.6,1.33586,0.88535,1.34081,0.89739,0.84453,0.89531,0.558,1.24218,0.66773,1.31622,0.007756,0.007756,0.007756
70,3907.42,1.34403,0.87998,1.33778,0.88811,0.85652,0.89076,0.55381,1.24286,0.66729,1.31435,0.007723,0.007723,0.007723
71,3963.17,1.34397,0.8806,1.33683,0.89818,0.84996,0.89229,0.55481,1.24548,0.66565,1.31407,0.00769,0.00769,0.00769
72,4018.98,1.33034,0.87059,1.33536,0.90582,0.84877,0.89081,0.55717,1.23946,0.65883,1.31199,0.007657,0.007657,0.007657
73,4074.97,1.33505,0.87428,1.32932,0.90854,0.84362,0.89595,0.56359,1.23195,0.65648,1.30754,0.007624,0.007624,0.007624
74,4130.64,1.32666,0.87163,1.32412,0.90413,0.8532,0.89644,0.56099,1.23735,0.65419,1.30487,0.007591,0.007591,0.007591
75,4186.38,1.33459,0.87531,1.33501,0.90789,0.84664,0.89453,0.55976,1.23457,0.65517,1.30476,0.007558,0.007558,0.007558
76,4242.43,1.3333,0.87283,1.32268,0.90035,0.84844,0.89304,0.55714,1.23749,0.65894,1.30594,0.007525,0.007525,0.007525
77,4298.26,1.34148,0.88399,1.33172,0.90048,0.84402,0.89326,0.55965,1.24014,0.65809,1.307,0.007492,0.007492,0.007492
78,4353.91,1.32745,0.87136,1.3259,0.89262,0.85369,0.89332,0.55724,1.24119,0.65608,1.30685,0.007459,0.007459,0.007459
79,4409.71,1.32766,0.86669,1.32924,0.90209,0.84828,0.89499,0.5598,1.23779,0.65512,1.30571,0.007426,0.007426,0.007426
80,4465.61,1.33552,0.86463,1.32181,0.89514,0.85263,0.89597,0.56013,1.23386,0.65195,1.30104,0.007393,0.007393,0.007393
81,4521.14,1.33242,0.86293,1.32399,0.89228,0.85601,0.89653,0.55786,1.2381,0.65,1.30447,0.00736,0.00736,0.00736
82,4577.41,1.32421,0.86644,1.31873,0.89267,0.84327,0.89178,0.55987,1.23284,0.65243,1.30161,0.007327,0.007327,0.007327
83,4633.05,1.32167,0.86219,1.32306,0.89232,0.852,0.89438,0.56047,1.22904,0.64874,1.29956,0.007294,0.007294,0.007294
84,4688.27,1.32185,0.85183,1.31825,0.90121,0.85205,0.89471,0.56045,1.23451,0.64846,1.29939,0.007261,0.007261,0.007261
85,4744.15,1.32572,0.86207,1.31848,0.89859,0.85241,0.89446,0.56211,1.22898,0.64674,1.29661,0.007228,0.007228,0.007228
86,4799.98,1.31439,0.85058,1.31564,0.91097,0.84374,0.89544,0.56521,1.23026,0.64698,1.298,0.007195,0.007195,0.007195
87,4855.95,1.32026,0.85335,1.30845,0.8897,0.85796,0.89547,0.56233,1.23416,0.64551,1.29851,0.007162,0.007162,0.007162
88,4912.51,1.31796,0.85849,1.31726,0.88922,0.85726,0.89604,0.56649,1.22751,0.64296,1.29554,0.007129,0.007129,0.007129
89,4968.64,1.31502,0.86,1.31798,0.88989,0.86128,0.89557,0.56373,1.22829,0.64143,1.29733,0.007096,0.007096,0.007096
90,5024.89,1.31563,0.84992,1.3079,0.89827,0.8525,0.89514,0.56334,1.22756,0.63928,1.29669,0.007063,0.007063,0.007063
91,5081.12,1.31861,0.85568,1.31739,0.89826,0.85184,0.89532,0.56345,1.22675,0.63994,1.29747,0.00703,0.00703,0.00703
92,5137.2,1.31206,0.84805,1.30565,0.89614,0.85477,0.89631,0.56488,1.22427,0.63989,1.29243,0.006997,0.006997,0.006997
93,5193.25,1.31574,0.84994,1.30823,0.89872,0.85525,0.89647,0.56514,1.22276,0.64022,1.2904,0.006964,0.006964,0.006964
94,5249.52,1.33079,0.86207,1.31557,0.89436,0.85371,0.89591,0.56447,1.22274,0.63972,1.2905,0.006931,0.006931,0.006931
95,5304.91,1.32666,0.8559,1.31453,0.89844,0.85331,0.89421,0.56393,1.22353,0.64076,1.29078,0.006898,0.006898,0.006898
96,5360.1,1.30839,0.84281,1.30166,0.89393,0.85602,0.89511,0.564,1.22223,0.63657,1.28881,0.006865,0.006865,0.006865
97,5416.43,1.30816,0.83888,1.30288,0.90396,0.85315,0.89555,0.56246,1.22209,0.63369,1.28741,0.006832,0.006832,0.006832
98,5472.75,1.30747,0.83594,1.30139,0.90313,0.85765,0.89653,0.56271,1.22041,0.63111,1.2844,0.006799,0.006799,0.006799
99,5528.59,1.30088,0.83486,1.298,0.90287,0.86107,0.89823,0.56302,1.22384,0.62918,1.28443,0.006766,0.006766,0.006766
100,5584.75,1.30162,0.84233,1.30182,0.89993,0.86358,0.90004,0.56664,1.22097,0.62959,1.28357,0.006733,0.006733,0.006733
