epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.412,3.19982,3.88621,3.52765,0.26576,0.19416,0.13507,0.0491,2.57223,3.0918,3.10301,0.0700365,0.00332928,0.00332928
2,320.145,2.48994,2.80537,2.79547,0.49108,0.31128,0.34573,0.14672,2.12696,2.22866,2.57785,0.0400145,0.00664062,0.00664062
3,470.638,2.09264,2.2968,2.35192,0.61518,0.41473,0.45798,0.21704,1.86067,1.91604,2.21157,0.00997052,0.00992997,0.00992997
4,619.98,1.90549,1.98652,2.10242,0.72483,0.53275,0.62502,0.33064,1.63782,1.54596,1.97043,0.009901,0.009901,0.009901
5,769.611,1.79667,1.78245,1.96357,0.74829,0.59123,0.65913,0.34607,1.67096,1.48816,1.96951,0.009868,0.009868,0.009868
6,919.184,1.73121,1.65478,1.8919,0.80156,0.58825,0.69297,0.36757,1.60196,1.39228,1.86035,0.009835,0.009835,0.009835
7,1067.83,1.69746,1.5932,1.84017,0.82732,0.62326,0.7203,0.39777,1.57955,1.28702,1.83164,0.009802,0.009802,0.009802
8,1218.18,1.66332,1.50244,1.79219,0.77673,0.63137,0.71637,0.38559,1.575,1.25431,1.80519,0.009769,0.009769,0.009769
9,1364.86,1.62622,1.42157,1.74929,0.80442,0.66386,0.75053,0.42133,1.51291,1.1414,1.73022,0.009736,0.009736,0.009736
10,1513.1,1.62018,1.40448,1.73517,0.80007,0.67684,0.75656,0.43413,1.4984,1.12432,1.7263,0.009703,0.009703,0.009703
11,1663.52,1.5963,1.34754,1.70728,0.82711,0.70395,0.77616,0.42845,1.51212,1.08979,1.70482,0.00967,0.00967,0.00967
12,1813.97,1.57896,1.32356,1.6873,0.82929,0.71589,0.79481,0.4558,1.45762,1.05064,1.66303,0.009637,0.009637,0.009637
13,1964.19,1.56679,1.28824,1.66996,0.83236,0.71912,0.78702,0.45575,1.43687,1.05179,1.62903,0.009604,0.009604,0.009604
14,2111.97,1.5504,1.26069,1.64547,0.81869,0.74199,0.80743,0.45508,1.45977,1.00957,1.63698,0.009571,0.009571,0.009571
15,2260.51,1.54818,1.26568,1.63255,0.83419,0.71282,0.79921,0.47756,1.41674,0.99812,1.59639,0.009538,0.009538,0.009538
16,2408.33,1.52735,1.21165,1.61622,0.86035,0.7207,0.81807,0.47825,1.39871,0.96845,1.57402,0.009505,0.009505,0.009505
17,2556.85,1.51937,1.20241,1.60463,0.84612,0.72973,0.8092,0.46415,1.40486,0.95988,1.57992,0.009472,0.009472,0.009472
18,2704.6,1.52102,1.1887,1.59895,0.84905,0.7638,0.82806,0.4885,1.39051,0.92883,1.55501,0.009439,0.009439,0.009439
19,2853.86,1.51227,1.17259,1.58162,0.86596,0.73302,0.82143,0.47886,1.40675,0.93858,1.55731,0.009406,0.009406,0.009406
20,3002.05,1.49654,1.15251,1.56768,0.86695,0.75166,0.82907,0.48956,1.38458,0.90115,1.55251,0.009373,0.009373,0.009373
