epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1791,0.9349,3.5195,3.50554,0.4377,0.29547,0.27895,0.10601,1.00984,2.44761,3.05768,0.0700365,0.00332928,0.00332928
2,126.711,0.97597,2.35676,2.71965,0.62107,0.46759,0.50514,0.2322,0.97001,1.9409,2.43462,0.0400145,0.00664062,0.00664062
3,183.362,0.95251,1.97768,2.28728,0.68615,0.52874,0.60831,0.32026,0.91402,1.6485,2.13386,0.00997052,0.00992997,0.00992997
4,239.605,0.93354,1.77003,2.08758,0.73367,0.58762,0.6673,0.35305,0.91151,1.53446,2.00737,0.009901,0.009901,0.009901
5,295.982,0.9189,1.60976,1.97561,0.80076,0.64053,0.73339,0.38983,0.88554,1.28763,1.91035,0.009868,0.009868,0.009868
6,352.052,0.90441,1.49128,1.89388,0.81047,0.64405,0.74151,0.3909,0.88857,1.2626,1.88724,0.009835,0.009835,0.009835
7,408.317,0.89775,1.43221,1.84194,0.7904,0.66952,0.74917,0.42248,0.88009,1.16514,1.81791,0.009802,0.009802,0.009802
8,464.583,0.89093,1.37241,1.79551,0.79102,0.69568,0.7659,0.42431,0.86758,1.12925,1.7975,0.009769,0.009769,0.009769
9,520.931,0.88521,1.32234,1.77642,0.8357,0.70455,0.79915,0.43958,0.87259,1.07857,1.78599,0.009736,0.009736,0.009736
10,577.44,0.88003,1.30624,1.75133,0.84411,0.70587,0.80148,0.44794,0.86369,1.05392,1.74978,0.009703,0.009703,0.009703
11,634.112,0.87477,1.25292,1.72128,0.84331,0.71397,0.80883,0.46451,0.84939,1.02055,1.6938,0.00967,0.00967,0.00967
12,691.084,0.87227,1.22246,1.70974,0.84764,0.73252,0.81978,0.4677,0.84726,1.01745,1.69953,0.009637,0.009637,0.009637
13,747.634,0.86996,1.19998,1.69033,0.84667,0.75793,0.8211,0.45854,0.84953,0.98572,1.6871,0.009604,0.009604,0.009604
14,803.842,0.86854,1.17353,1.68076,0.83492,0.73657,0.80396,0.46631,0.84283,0.98127,1.65915,0.009571,0.009571,0.009571
15,859.866,0.86471,1.17166,1.66707,0.86673,0.76173,0.83273,0.48142,0.83587,0.93886,1.64548,0.009538,0.009538,0.009538
16,916.034,0.86106,1.15348,1.65747,0.85207,0.75816,0.82147,0.47116,0.83741,0.94118,1.64946,0.009505,0.009505,0.009505
17,972.37,0.85852,1.14192,1.63869,0.87841,0.75393,0.82879,0.48781,0.8415,0.92097,1.63863,0.009472,0.009472,0.009472
18,1029.47,0.85894,1.1201,1.63378,0.85333,0.78447,0.84093,0.49608,0.82669,0.89661,1.61933,0.009439,0.009439,0.009439
19,1086.13,0.85893,1.12585,1.62985,0.87063,0.77013,0.84414,0.48346,0.82801,0.89862,1.60586,0.009406,0.009406,0.009406
20,1142.58,0.85179,1.09817,1.61267,0.8563,0.74993,0.82597,0.47518,0.83307,0.9058,1.60659,0.009373,0.009373,0.009373
21,1198.65,0.85185,1.07935,1.60349,0.8614,0.77468,0.83452,0.49563,0.8178,0.88028,1.58921,0.00934,0.00934,0.00934
22,1254.96,0.85194,1.08145,1.59943,0.85344,0.79012,0.84241,0.49586,0.82258,0.86371,1.57642,0.009307,0.009307,0.009307
23,1311.28,0.85036,1.07331,1.59559,0.85674,0.77931,0.84103,0.49593,0.81588,0.86503,1.58222,0.009274,0.009274,0.009274
24,1367.44,0.84923,1.0776,1.59609,0.87884,0.78312,0.84719,0.49716,0.8244,0.85043,1.57423,0.009241,0.009241,0.009241
25,1423.65,0.84851,1.05938,1.58179,0.86485,0.78163,0.85452,0.51179,0.80446,0.82614,1.53866,0.009208,0.009208,0.009208
26,1479.58,0.84564,1.04504,1.583,0.87157,0.79552,0.85047,0.5011,0.82217,0.82359,1.56385,0.009175,0.009175,0.009175
27,1535.76,0.84381,1.04308,1.56869,0.88313,0.79337,0.85997,0.5088,0.81657,0.81898,1.55398,0.009142,0.009142,0.009142
28,1591.7,0.84407,1.04425,1.56533,0.87969,0.78555,0.85426,0.5042,0.8158,0.81759,1.54032,0.009109,0.009109,0.009109
29,1647.71,0.84428,1.028,1.56606,0.88647,0.78373,0.85002,0.50712,0.81005,0.82483,1.5348,0.009076,0.009076,0.009076
30,1703.74,0.84141,1.02653,1.5527,0.86928,0.80345,0.86237,0.53043,0.804,0.79753,1.5183,0.009043,0.009043,0.009043
31,1760.02,0.84052,1.0071,1.54591,0.88412,0.80091,0.85503,0.51184,0.80915,0.80647,1.52154,0.00901,0.00901,0.00901
32,1816.39,0.83638,1.02209,1.53656,0.88158,0.79562,0.85429,0.51403,0.8049,0.80387,1.51603,0.008977,0.008977,0.008977
33,1872.48,0.83805,1.0051,1.5248,0.88375,0.80843,0.86106,0.51107,0.81187,0.78767,1.51752,0.008944,0.008944,0.008944
34,1928.49,0.83915,1.00482,1.52993,0.89309,0.80786,0.86621,0.52298,0.80223,0.78223,1.49744,0.008911,0.008911,0.008911
35,1984.35,0.83656,1.00406,1.52848,0.86725,0.81332,0.86231,0.52038,0.80888,0.78212,1.51458,0.008878,0.008878,0.008878
36,2040.04,0.8359,0.99974,1.53194,0.86907,0.82827,0.86673,0.52807,0.80177,0.76399,1.49028,0.008845,0.008845,0.008845
37,2096.1,0.83493,0.99769,1.51726,0.88148,0.79827,0.85766,0.51523,0.80614,0.771,1.49211,0.008812,0.008812,0.008812
38,2152.09,0.83052,0.98411,1.51274,0.89387,0.81181,0.87318,0.51965,0.81106,0.77042,1.50403,0.008779,0.008779,0.008779
39,2207.98,0.83387,0.9705,1.50706,0.89687,0.80289,0.87256,0.52351,0.80824,0.75673,1.48425,0.008746,0.008746,0.008746
40,2264.23,0.83113,0.98188,1.50837,0.88839,0.80056,0.86531,0.52654,0.80391,0.76043,1.48258,0.008713,0.008713,0.008713
41,2321.02,0.83173,0.97426,1.5034,0.89039,0.80931,0.87306,0.5232,0.80296,0.76133,1.4759,0.00868,0.00868,0.00868
42,2377.99,0.82828,0.96176,1.49066,0.8917,0.80966,0.87661,0.53235,0.80149,0.74658,1.46678,0.008647,0.008647,0.008647
43,2434.7,0.82764,0.9561,1.48446,0.88636,0.80998,0.87298,0.52728,0.80086,0.75054,1.46552,0.008614,0.008614,0.008614
44,2491.7,0.82641,0.96881,1.48873,0.89472,0.81564,0.8714,0.53715,0.79341,0.73997,1.45869,0.008581,0.008581,0.008581
45,2548.15,0.82839,0.96109,1.48575,0.88331,0.81822,0.87231,0.53208,0.79616,0.7381,1.44779,0.008548,0.008548,0.008548
46,2605.02,0.82803,0.94001,1.486,0.88646,0.81355,0.86804,0.53264,0.79341,0.73531,1.44983,0.008515,0.008515,0.008515
47,2661.96,0.82448,0.95066,1.48698,0.88381,0.81446,0.87191,0.52403,0.80433,0.74194,1.46245,0.008482,0.008482,0.008482
48,2718.17,0.82669,0.94243,1.47454,0.89998,0.818,0.87655,0.5346,0.79799,0.72706,1.44733,0.008449,0.008449,0.008449
49,2774.84,0.82629,0.94595,1.47443,0.89396,0.82076,0.87818,0.54262,0.78823,0.73068,1.43031,0.008416,0.008416,0.008416
50,2831.68,0.82165,0.93234,1.45953,0.89866,0.81429,0.87677,0.53897,0.7872,0.72422,1.43058,0.008383,0.008383,0.008383
51,2888.34,0.82352,0.93891,1.46752,0.88948,0.81933,0.87886,0.5529,0.78443,0.72036,1.41851,0.00835,0.00835,0.00835
52,2944.85,0.82754,0.94219,1.46946,0.89921,0.82084,0.87644,0.54332,0.78548,0.71933,1.43136,0.008317,0.008317,0.008317
53,3001.51,0.8253,0.93793,1.46636,0.8895,0.83265,0.87864,0.54061,0.78673,0.72312,1.42954,0.008284,0.008284,0.008284
54,3058.75,0.82101,0.92674,1.45698,0.89146,0.8198,0.87839,0.5382,0.7863,0.72037,1.43373,0.008251,0.008251,0.008251
55,3116.58,0.81938,0.93306,1.45311,0.87682,0.82993,0.87971,0.54471,0.78562,0.69858,1.41872,0.008218,0.008218,0.008218
56,3173.56,0.8211,0.92039,1.44979,0.89902,0.8316,0.88169,0.5432,0.7898,0.70049,1.4185,0.008185,0.008185,0.008185
57,3230.07,0.81909,0.91661,1.44736,0.90149,0.817,0.88115,0.5444,0.78695,0.69845,1.41389,0.008152,0.008152,0.008152
58,3286.53,0.82169,0.91201,1.4387,0.89338,0.8282,0.88213,0.54394,0.78792,0.70289,1.41129,0.008119,0.008119,0.008119
59,3342.88,0.81802,0.91764,1.44413,0.90651,0.83111,0.88524,0.54069,0.79016,0.7098,1.41999,0.008086,0.008086,0.008086
