epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.891,0.92491,3.7839,3.61245,0.28249,0.21389,0.15786,0.05464,1.01093,2.69103,3.22225,0.0700365,0.00332928,0.00332928
2,353.724,0.98161,2.67562,2.99403,0.51035,0.37027,0.39266,0.16811,0.99834,2.60979,2.74371,0.0400145,0.00664062,0.00664062
3,520.37,0.97306,2.25114,2.55089,0.60407,0.47552,0.53741,0.25515,0.95178,1.79172,2.36039,0.00997052,0.00992997,0.00992997
4,686.668,0.95386,1.94082,2.27951,0.73098,0.53937,0.62481,0.3221,0.9267,1.52646,2.19533,0.009901,0.009901,0.009901
5,853.163,0.93677,1.73797,2.13665,0.79613,0.58167,0.67011,0.34584,0.91776,1.42595,2.11727,0.009868,0.009868,0.009868
6,1018.43,0.92436,1.59502,2.04015,0.77989,0.57887,0.6821,0.35622,0.90576,1.38177,2.00945,0.009835,0.009835,0.009835
7,1185.17,0.91637,1.53295,1.98042,0.81795,0.65015,0.74045,0.40948,0.89125,1.20523,1.95316,0.009802,0.009802,0.009802
8,1350.86,0.90758,1.445,1.92571,0.81685,0.64363,0.73206,0.38894,0.90787,1.2019,1.9671,0.009769,0.009769,0.009769
9,1516.06,0.89925,1.35809,1.88197,0.80429,0.6688,0.75084,0.42394,0.87308,1.13026,1.87634,0.009736,0.009736,0.009736
10,1681.85,0.89851,1.34975,1.87093,0.82811,0.70521,0.78095,0.4369,0.874,1.06015,1.84003,0.009703,0.009703,0.009703
11,1847.62,0.89178,1.28757,1.83,0.84312,0.70119,0.7899,0.43372,0.88219,1.02072,1.84175,0.00967,0.00967,0.00967
12,2014.28,0.88828,1.26975,1.8135,0.84267,0.7209,0.78982,0.44893,0.8555,1.00935,1.77375,0.009637,0.009637,0.009637
13,2180.2,0.88441,1.23808,1.78323,0.86052,0.71617,0.80593,0.45566,0.85223,0.99767,1.75311,0.009604,0.009604,0.009604
14,2347.27,0.88079,1.2073,1.76656,0.85332,0.71859,0.81421,0.45643,0.85342,0.96736,1.74927,0.009571,0.009571,0.009571
15,2512.99,0.87741,1.2028,1.75007,0.84881,0.72647,0.8113,0.46903,0.84984,0.94825,1.74638,0.009538,0.009538,0.009538
16,2680.18,0.87526,1.15844,1.73578,0.84991,0.72436,0.81056,0.47497,0.83457,0.92592,1.69186,0.009505,0.009505,0.009505
17,2846.76,0.87145,1.14834,1.72334,0.82531,0.73188,0.81498,0.46592,0.84008,0.92677,1.70244,0.009472,0.009472,0.009472
18,3013.39,0.87002,1.1418,1.71219,0.83884,0.76222,0.81831,0.47269,0.83697,0.90095,1.68654,0.009439,0.009439,0.009439
19,3180.76,0.86883,1.11786,1.70338,0.85813,0.76079,0.83262,0.48348,0.83661,0.87796,1.66548,0.009406,0.009406,0.009406
20,3346.89,0.86349,1.10732,1.68013,0.86076,0.76619,0.83017,0.48744,0.83144,0.8699,1.64876,0.009373,0.009373,0.009373
21,3514.02,0.86408,1.10979,1.67489,0.86163,0.75702,0.82804,0.49235,0.82623,0.853,1.62,0.00934,0.00934,0.00934
22,3680.12,0.8593,1.08054,1.66094,0.86501,0.7575,0.83306,0.47444,0.83921,0.85959,1.66639,0.009307,0.009307,0.009307
23,3847.91,0.86403,1.09478,1.6616,0.87953,0.76825,0.83856,0.48747,0.8326,0.83701,1.63399,0.009274,0.009274,0.009274
24,4015.84,0.86132,1.0814,1.65968,0.87419,0.74873,0.83308,0.47473,0.83392,0.85853,1.65474,0.009241,0.009241,0.009241
25,4181.71,0.8551,1.06844,1.64249,0.88172,0.7702,0.84701,0.51205,0.81591,0.8186,1.59988,0.009208,0.009208,0.009208
26,4348.08,0.85586,1.04951,1.64205,0.84555,0.7763,0.83004,0.47811,0.82388,0.83387,1.63345,0.009175,0.009175,0.009175
27,4513.12,0.85518,1.04499,1.63179,0.86069,0.77822,0.84907,0.5114,0.81591,0.8139,1.57896,0.009142,0.009142,0.009142
28,4679.02,0.85712,1.04304,1.62602,0.86322,0.78474,0.85539,0.49023,0.82011,0.80108,1.59252,0.009109,0.009109,0.009109
29,4843.57,0.85149,1.03348,1.61496,0.88098,0.78678,0.8528,0.50662,0.81893,0.7924,1.59528,0.009076,0.009076,0.009076
30,5009.07,0.85041,1.01121,1.60729,0.87088,0.79214,0.85567,0.50518,0.8147,0.79647,1.58768,0.009043,0.009043,0.009043
31,5175.83,0.85208,1.02957,1.61671,0.8826,0.77962,0.84647,0.49903,0.81878,0.79673,1.58855,0.00901,0.00901,0.00901
32,5342.24,0.85077,1.01166,1.6012,0.88138,0.78533,0.85257,0.51232,0.81191,0.78565,1.56179,0.008977,0.008977,0.008977
33,5509.98,0.84629,1.00035,1.59546,0.87963,0.7807,0.85892,0.50713,0.81691,0.79106,1.56977,0.008944,0.008944,0.008944
34,5677.94,0.84846,0.9977,1.59358,0.86449,0.80235,0.8586,0.51427,0.80757,0.77607,1.55354,0.008911,0.008911,0.008911
35,5843.67,0.84426,0.99366,1.58803,0.86695,0.79483,0.85912,0.51442,0.81087,0.7659,1.55924,0.008878,0.008878,0.008878
36,6010.47,0.84335,0.97711,1.5767,0.86875,0.79414,0.8555,0.50381,0.81502,0.77043,1.56109,0.008845,0.008845,0.008845
