epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0791,13.6137,4.79778,4.4025,0.00256,0.20051,0.00236,0.00071,12.5937,4.0838,4.28594,0.0700365,0.00332928,0.00332928
2,125.425,10.3816,3.93961,3.81457,0.12882,0.10498,0.07023,0.02744,9.53798,3.30218,3.45014,0.0400145,0.00664062,0.00664062
3,182.614,8.87805,3.46914,3.1271,0.14693,0.13418,0.09112,0.0354,8.99354,3.10227,3.01609,0.00997052,0.00992997,0.00992997
4,239.325,7.40567,3.13048,2.72458,0.32113,0.19425,0.18957,0.09069,7.14481,2.75468,2.65446,0.009901,0.009901,0.009901
5,296.213,6.59859,2.78898,2.44771,0.41886,0.34079,0.31893,0.15688,6.12721,2.28653,2.41173,0.009868,0.009868,0.009868
6,352.877,6.00661,2.51706,2.2984,0.54648,0.35903,0.3889,0.20125,5.99754,2.20696,2.32816,0.009835,0.009835,0.009835
7,409.531,5.68026,2.35683,2.23528,0.62155,0.43543,0.49734,0.25774,5.81022,2.02447,2.27016,0.009802,0.009802,0.009802
8,466.409,5.30072,2.19504,2.15694,0.67342,0.47382,0.54629,0.27161,5.41054,1.94749,2.20155,0.009769,0.009769,0.009769
9,523.27,5.14973,2.08976,2.1176,0.75863,0.47915,0.57504,0.297,4.98278,1.81849,2.15608,0.009736,0.009736,0.009736
10,579.882,4.90704,2.00048,2.08112,0.71394,0.48763,0.58509,0.3132,4.98311,1.71718,2.12162,0.009703,0.009703,0.009703
11,636.364,4.70744,1.93166,2.04166,0.73225,0.52581,0.60904,0.32193,4.58009,1.65437,2.07547,0.00967,0.00967,0.00967
12,692.503,4.71607,1.87524,2.01916,0.71563,0.49737,0.58408,0.31296,4.62121,1.72299,2.06378,0.009637,0.009637,0.009637
13,748.521,4.58705,1.83377,1.99872,0.73068,0.54472,0.62235,0.32428,4.58584,1.60174,2.05409,0.009604,0.009604,0.009604
14,804.535,4.51038,1.77443,1.9776,0.77312,0.55831,0.64058,0.35298,4.48903,1.54046,2.00002,0.009571,0.009571,0.009571
15,860.616,4.42642,1.74723,1.95432,0.77045,0.56086,0.65224,0.3543,4.1744,1.50099,1.97716,0.009538,0.009538,0.009538
16,916.654,4.34294,1.70195,1.94293,0.75701,0.57442,0.66835,0.35998,4.36955,1.45548,1.99077,0.009505,0.009505,0.009505
17,972.675,4.26303,1.67406,1.91741,0.76734,0.58384,0.67853,0.37343,4.0823,1.42358,1.94188,0.009472,0.009472,0.009472
18,1029.29,4.21156,1.64983,1.91107,0.75594,0.61847,0.69194,0.38384,4.04844,1.39238,1.92498,0.009439,0.009439,0.009439
19,1086.08,4.14116,1.64065,1.89875,0.8051,0.59881,0.69995,0.38459,3.94076,1.38124,1.89778,0.009406,0.009406,0.009406
20,1142.62,4.13476,1.605,1.89659,0.77926,0.61991,0.70439,0.38863,4.01877,1.3264,1.91861,0.009373,0.009373,0.009373
21,1199.05,4.02845,1.55433,1.86718,0.77978,0.62398,0.71531,0.41187,3.76952,1.30018,1.86499,0.00934,0.00934,0.00934
22,1255.65,4.02206,1.54935,1.86574,0.77648,0.62887,0.71702,0.39792,3.85765,1.30218,1.88886,0.009307,0.009307,0.009307
23,1312.16,3.9516,1.52815,1.85922,0.77838,0.63185,0.71333,0.402,3.90788,1.29125,1.86764,0.009274,0.009274,0.009274
24,1368.7,3.95636,1.53339,1.85463,0.79195,0.64462,0.72549,0.4142,3.82907,1.27056,1.86185,0.009241,0.009241,0.009241
25,1425.57,3.97343,1.50738,1.84976,0.80727,0.63237,0.72497,0.40214,3.79508,1.27196,1.85891,0.009208,0.009208,0.009208
26,1482.38,3.88307,1.48151,1.83824,0.79149,0.65179,0.73619,0.41805,3.75227,1.23536,1.83923,0.009175,0.009175,0.009175
27,1538.91,3.87289,1.47234,1.82712,0.82448,0.62769,0.73561,0.4238,3.70108,1.2339,1.83201,0.009142,0.009142,0.009142
28,1595.53,3.79053,1.45711,1.81355,0.77422,0.65232,0.72056,0.40111,3.569,1.25951,1.83505,0.009109,0.009109,0.009109
29,1651.74,3.83967,1.44354,1.81893,0.84217,0.6514,0.75615,0.4245,3.60966,1.19457,1.81445,0.009076,0.009076,0.009076
30,1708.4,3.7274,1.4357,1.79954,0.82058,0.67161,0.75826,0.44965,3.54354,1.1615,1.79183,0.009043,0.009043,0.009043
31,1765.32,3.71349,1.4078,1.79744,0.82108,0.67791,0.766,0.44605,3.56094,1.15547,1.79948,0.00901,0.00901,0.00901
32,1822.36,3.70649,1.40317,1.79237,0.82426,0.67261,0.75606,0.43442,3.60898,1.15508,1.79832,0.008977,0.008977,0.008977
33,1878.56,3.6537,1.38983,1.7765,0.81325,0.67929,0.76454,0.44007,3.55363,1.14574,1.78326,0.008944,0.008944,0.008944
34,1934.74,3.66727,1.38647,1.78032,0.80324,0.69957,0.77695,0.44239,3.49383,1.13798,1.78328,0.008911,0.008911,0.008911
35,1990.61,3.66727,1.37396,1.77595,0.81315,0.68354,0.76667,0.44327,3.47246,1.11744,1.78167,0.008878,0.008878,0.008878
36,2046.66,3.66139,1.37243,1.77892,0.7919,0.68746,0.75874,0.44623,3.48886,1.12564,1.77612,0.008845,0.008845,0.008845
37,2102.58,3.60502,1.37026,1.76271,0.82947,0.70085,0.77957,0.44462,3.5573,1.10631,1.77424,0.008812,0.008812,0.008812
38,2158.45,3.58549,1.34001,1.75667,0.82586,0.69748,0.7801,0.45234,3.41322,1.08308,1.75467,0.008779,0.008779,0.008779
39,2214.56,3.48766,1.3108,1.75098,0.83483,0.6999,0.78204,0.45469,3.39995,1.07254,1.75145,0.008746,0.008746,0.008746
40,2270.43,3.59948,1.33742,1.7559,0.81905,0.71308,0.78637,0.45359,3.38418,1.08194,1.75117,0.008713,0.008713,0.008713
41,2326.55,3.55802,1.3381,1.75291,0.82351,0.71299,0.78533,0.45221,3.36811,1.08713,1.74626,0.00868,0.00868,0.00868
