epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.303,10.5104,4.71432,4.19859,0.018,0.04704,0.00874,0.00245,8.08257,4.51745,4.62478,0.0700365,0.00332928,0.00332928
2,340.307,7.52282,3.8467,3.65324,0.11289,0.11075,0.06221,0.02354,7.10869,3.31258,3.3344,0.0400145,0.00664062,0.00664062
3,493.198,6.3253,3.46112,3.00202,0.64779,0.11805,0.09106,0.03359,6.89697,3.33809,2.92722,0.00997052,0.00992997,0.00992997
4,645.324,5.74008,3.13408,2.62441,0.26179,0.24315,0.22022,0.10446,5.20456,2.52701,2.50927,0.009901,0.009901,0.009901
5,798.873,5.02339,2.783,2.39705,0.44638,0.32566,0.32394,0.14591,5.03577,2.37284,2.42694,0.009868,0.009868,0.009868
6,953.009,4.62965,2.48838,2.27263,0.50316,0.37938,0.37903,0.18453,4.57588,2.14526,2.28967,0.009835,0.009835,0.009835
7,1105.1,4.39708,2.33212,2.19759,0.64714,0.40873,0.46844,0.23961,4.29233,1.97796,2.19319,0.009802,0.009802,0.009802
8,1258.81,4.0649,2.16436,2.11927,0.68863,0.41708,0.49007,0.24779,4.08106,1.90429,2.16977,0.009769,0.009769,0.009769
9,1411.1,3.92249,2.03536,2.05489,0.67911,0.46188,0.53253,0.27886,3.86045,1.74391,2.08125,0.009736,0.009736,0.009736
10,1563.84,3.81772,1.99369,2.02379,0.65458,0.52368,0.58231,0.3031,3.70135,1.64326,2.03408,0.009703,0.009703,0.009703
11,1718.01,3.61856,1.88783,1.96963,0.73644,0.52165,0.6019,0.30751,3.6329,1.55905,2.00035,0.00967,0.00967,0.00967
12,1871.69,3.56655,1.82836,1.94748,0.71347,0.53992,0.60267,0.32923,3.28314,1.53392,1.90421,0.009637,0.009637,0.009637
13,2025.86,3.45569,1.78217,1.9105,0.72371,0.52095,0.60213,0.31281,3.42236,1.55686,1.94906,0.009604,0.009604,0.009604
14,2178.54,3.34864,1.73049,1.87833,0.78374,0.56954,0.65895,0.35699,3.3004,1.45367,1.89616,0.009571,0.009571,0.009571
15,2332.15,3.31701,1.71438,1.86705,0.73944,0.58022,0.6587,0.3592,3.21997,1.40781,1.88584,0.009538,0.009538,0.009538
16,2486.69,3.24797,1.63675,1.84346,0.77568,0.58911,0.68891,0.38855,3.06259,1.32639,1.80845,0.009505,0.009505,0.009505
17,2641.79,3.19935,1.60724,1.82605,0.78072,0.58449,0.6668,0.36588,3.14678,1.36829,1.85639,0.009472,0.009472,0.009472
18,2793.19,3.13506,1.5839,1.80834,0.7952,0.61284,0.70708,0.38306,3.07106,1.29737,1.83931,0.009439,0.009439,0.009439
19,2943.71,3.09613,1.53281,1.80009,0.76476,0.62115,0.69907,0.3681,3.00693,1.26845,1.80641,0.009406,0.009406,0.009406
20,3094.13,3.0673,1.51538,1.78162,0.79564,0.63822,0.72341,0.40631,3.01007,1.25436,1.77942,0.009373,0.009373,0.009373
21,3245.96,3.09317,1.5137,1.78129,0.76236,0.64073,0.71273,0.41002,2.95236,1.24076,1.77208,0.00934,0.00934,0.00934
22,3397.27,3.02349,1.48763,1.76599,0.80915,0.63096,0.73424,0.41008,2.95227,1.23081,1.77441,0.009307,0.009307,0.009307
23,3548.08,3.00504,1.47467,1.75705,0.8001,0.64773,0.73359,0.41247,2.9339,1.1948,1.75014,0.009274,0.009274,0.009274
24,3698.09,3.00959,1.47325,1.748,0.80865,0.65754,0.74762,0.41183,2.83091,1.17295,1.76342,0.009241,0.009241,0.009241
25,3848.63,2.94402,1.43391,1.73646,0.81493,0.6618,0.74838,0.43058,2.79995,1.13796,1.72161,0.009208,0.009208,0.009208
26,3999.72,2.9334,1.41469,1.72966,0.77209,0.66994,0.73301,0.41402,2.71547,1.14569,1.71857,0.009175,0.009175,0.009175
27,4149.97,2.87961,1.40771,1.71577,0.81278,0.65254,0.7389,0.41992,2.81058,1.16239,1.71506,0.009142,0.009142,0.009142
28,4301.02,2.89249,1.38869,1.71864,0.82243,0.67182,0.75852,0.42038,2.75355,1.14184,1.71482,0.009109,0.009109,0.009109
29,4450.75,2.86817,1.38248,1.71012,0.82775,0.67865,0.76129,0.43342,2.70492,1.11052,1.6969,0.009076,0.009076,0.009076
30,4601.51,2.8554,1.35829,1.69937,0.81643,0.67889,0.77344,0.44491,2.65831,1.07574,1.66688,0.009043,0.009043,0.009043
31,4752.02,2.83267,1.36002,1.69653,0.83602,0.68738,0.76916,0.44009,2.70702,1.07571,1.68498,0.00901,0.00901,0.00901
32,4903.21,2.79657,1.34321,1.69282,0.81889,0.68916,0.76952,0.45254,2.74572,1.07043,1.68282,0.008977,0.008977,0.008977
33,5053.42,2.76055,1.32276,1.67847,0.82197,0.70439,0.77804,0.44812,2.60157,1.0564,1.67473,0.008944,0.008944,0.008944
34,5204.21,2.75277,1.32511,1.68251,0.83976,0.68174,0.77524,0.45409,2.66507,1.05487,1.65922,0.008911,0.008911,0.008911
35,5353.75,2.74843,1.30135,1.66993,0.82046,0.70873,0.78278,0.45386,2.60311,1.02812,1.65058,0.008878,0.008878,0.008878
36,5505,2.76428,1.28882,1.66792,0.82418,0.70058,0.7783,0.44927,2.61443,1.02107,1.66529,0.008845,0.008845,0.008845
37,5657.09,2.73233,1.28486,1.65897,0.81594,0.70324,0.78557,0.45287,2.5567,1.01313,1.65599,0.008812,0.008812,0.008812
38,5809.13,2.69513,1.29,1.66226,0.85005,0.70504,0.78832,0.45189,2.5757,1.00298,1.634,0.008779,0.008779,0.008779
39,5960.76,2.69267,1.26675,1.65487,0.86472,0.69004,0.79594,0.45943,2.51794,0.99449,1.62996,0.008746,0.008746,0.008746
40,6111.89,2.70001,1.25759,1.64917,0.8319,0.70335,0.78132,0.45845,2.57767,1.00079,1.63239,0.008713,0.008713,0.008713
41,6263.49,2.70788,1.26489,1.65272,0.82935,0.71993,0.79185,0.46853,2.51195,0.97868,1.61007,0.00868,0.00868,0.00868
42,6415.87,2.66558,1.25172,1.63807,0.86294,0.71164,0.79536,0.46177,2.49744,0.97165,1.62095,0.008647,0.008647,0.008647
43,6567.06,2.64632,1.23804,1.62662,0.83554,0.7366,0.80704,0.47312,2.47535,0.96144,1.60202,0.008614,0.008614,0.008614
44,6717.24,2.6648,1.23747,1.63184,0.83774,0.72873,0.80332,0.46405,2.48496,0.96514,1.61533,0.008581,0.008581,0.008581
45,6867.36,2.65872,1.21216,1.6286,0.84953,0.72047,0.80935,0.46846,2.4952,0.94899,1.61089,0.008548,0.008548,0.008548
46,7017.21,2.6027,1.22174,1.62225,0.8323,0.73933,0.80714,0.47398,2.459,0.94355,1.5856,0.008515,0.008515,0.008515
47,7167.84,2.61108,1.22348,1.62083,0.82782,0.74918,0.81707,0.47722,2.4583,0.93186,1.59713,0.008482,0.008482,0.008482
48,7316.83,2.58166,1.20067,1.61225,0.85721,0.73419,0.816,0.48162,2.44216,0.93365,1.5891,0.008449,0.008449,0.008449
49,7467.15,2.56202,1.18747,1.6082,0.85474,0.73826,0.81742,0.48521,2.42733,0.92313,1.58302,0.008416,0.008416,0.008416
50,7617.07,2.55758,1.1876,1.60801,0.83908,0.75414,0.81032,0.48317,2.39543,0.92474,1.57945,0.008383,0.008383,0.008383
51,7769.1,2.54364,1.19361,1.60682,0.83994,0.74269,0.81346,0.47737,2.3577,0.92194,1.57546,0.00835,0.00835,0.00835
52,7920.45,2.54417,1.18571,1.59496,0.85624,0.74373,0.8163,0.48313,2.40938,0.92234,1.58588,0.008317,0.008317,0.008317
53,8072.33,2.53462,1.18903,1.59755,0.8602,0.74004,0.82191,0.48635,2.3557,0.90847,1.56669,0.008284,0.008284,0.008284
54,8223.15,2.54558,1.18317,1.59699,0.83771,0.75524,0.81313,0.47694,2.37608,0.91813,1.57476,0.008251,0.008251,0.008251
55,8374.7,2.53882,1.1942,1.59994,0.84683,0.75431,0.82112,0.48801,2.36087,0.89853,1.56789,0.008218,0.008218,0.008218
56,8525.86,2.51516,1.16732,1.59604,0.84584,0.75815,0.82308,0.48977,2.35393,0.90432,1.55879,0.008185,0.008185,0.008185
57,8676.95,2.52122,1.1638,1.59467,0.87011,0.73345,0.82535,0.49239,2.32986,0.88723,1.55651,0.008152,0.008152,0.008152
58,8828,2.50903,1.15979,1.58311,0.85981,0.75314,0.82866,0.49325,2.32891,0.88422,1.55683,0.008119,0.008119,0.008119
59,8978.63,2.47527,1.14863,1.58045,0.86337,0.75443,0.83061,0.49506,2.31478,0.88259,1.54735,0.008086,0.008086,0.008086
60,9129.45,2.44458,1.12908,1.57061,0.84461,0.76856,0.83056,0.49524,2.28516,0.8787,1.54827,0.008053,0.008053,0.008053
61,9280.68,2.45918,1.13922,1.56916,0.86433,0.75007,0.82871,0.49283,2.29374,0.88068,1.54414,0.00802,0.00802,0.00802
62,9433.03,2.48301,1.14413,1.57312,0.84513,0.77598,0.82924,0.49177,2.29327,0.86775,1.54201,0.007987,0.007987,0.007987
63,9583.14,2.45138,1.13282,1.56911,0.85562,0.76541,0.82866,0.48914,2.27529,0.86116,1.54424,0.007954,0.007954,0.007954
64,9734.08,2.44558,1.13136,1.56507,0.86753,0.76463,0.8384,0.50388,2.25361,0.86152,1.5356,0.007921,0.007921,0.007921
65,9884.85,2.43822,1.11684,1.56676,0.85528,0.77485,0.83755,0.5025,2.26256,0.84642,1.53525,0.007888,0.007888,0.007888
66,10035.6,2.41917,1.12658,1.56862,0.84831,0.78189,0.83909,0.50131,2.24887,0.84387,1.5322,0.007855,0.007855,0.007855
67,10187.3,2.4298,1.10616,1.55768,0.86237,0.76678,0.83501,0.50299,2.23323,0.8418,1.53074,0.007822,0.007822,0.007822
68,10338.4,2.4123,1.10637,1.55955,0.85063,0.76997,0.83062,0.49564,2.23582,0.84169,1.52799,0.007789,0.007789,0.007789
69,10489.7,2.45925,1.11993,1.56341,0.86774,0.76899,0.83639,0.50003,2.23895,0.83568,1.5286,0.007756,0.007756,0.007756
70,10641.8,2.4257,1.11032,1.55903,0.86276,0.7714,0.83933,0.50135,2.2296,0.83755,1.52135,0.007723,0.007723,0.007723
71,10792.7,2.4242,1.10063,1.55551,0.85619,0.78227,0.84181,0.50361,2.22982,0.82963,1.52249,0.00769,0.00769,0.00769
72,10944.5,2.38462,1.1033,1.54394,0.86654,0.78434,0.84014,0.50311,2.23334,0.82526,1.51211,0.007657,0.007657,0.007657
73,11094.5,2.38347,1.07602,1.54143,0.86524,0.77453,0.83912,0.50166,2.22119,0.82612,1.51299,0.007624,0.007624,0.007624
74,11245.7,2.36848,1.0845,1.53961,0.86871,0.77297,0.84194,0.50603,2.19896,0.82006,1.51202,0.007591,0.007591,0.007591
75,11395.8,2.37593,1.09607,1.54224,0.86459,0.7808,0.83813,0.5062,2.19641,0.82325,1.50727,0.007558,0.007558,0.007558
76,11547.7,2.36704,1.06891,1.53793,0.86857,0.78774,0.84251,0.50554,2.22268,0.81354,1.50674,0.007525,0.007525,0.007525
