epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0407,0.96382,3.43777,3.40701,0.42866,0.3073,0.29645,0.12458,1.02806,2.38565,2.96111,0.0700365,0.00332928,0.00332928
2,122.743,0.99561,2.33743,2.63709,0.59379,0.44015,0.48129,0.22679,0.98351,2.12933,2.47692,0.0400145,0.00664062,0.00664062
3,178.018,0.9672,1.99852,2.30333,0.64669,0.48272,0.55463,0.28012,0.95216,1.8088,2.28572,0.00997052,0.00992997,0.00992997
4,232.989,0.94367,1.78591,2.12547,0.73016,0.60027,0.68043,0.3661,0.91827,1.45866,2.04574,0.009901,0.009901,0.009901
5,288.082,0.93071,1.62328,2.02842,0.80205,0.63942,0.72453,0.40034,0.8965,1.31647,2.0011,0.009868,0.009868,0.009868
6,342.837,0.91479,1.49821,1.9479,0.81051,0.6446,0.73157,0.38628,0.8932,1.25159,1.95036,0.009835,0.009835,0.009835
7,398.135,0.90747,1.43996,1.90296,0.8181,0.6745,0.7616,0.43061,0.8836,1.14407,1.88973,0.009802,0.009802,0.009802
8,453.038,0.90059,1.38112,1.85446,0.81685,0.67051,0.75331,0.41227,0.88444,1.20502,1.90086,0.009769,0.009769,0.009769
9,508.101,0.89555,1.33246,1.83446,0.83064,0.70806,0.79317,0.43024,0.88877,1.08495,1.87216,0.009736,0.009736,0.009736
10,563.07,0.89163,1.31495,1.81349,0.83464,0.71003,0.79419,0.44616,0.86589,1.05231,1.81924,0.009703,0.009703,0.009703
11,618.292,0.88497,1.26318,1.78252,0.86583,0.70751,0.79732,0.46211,0.8483,1.01109,1.74218,0.00967,0.00967,0.00967
12,673.732,0.88099,1.23937,1.76321,0.84399,0.72598,0.80022,0.46477,0.85054,1.0256,1.73596,0.009637,0.009637,0.009637
13,729.352,0.87843,1.21706,1.74433,0.84875,0.73138,0.81182,0.4532,0.86174,0.99212,1.74737,0.009604,0.009604,0.009604
14,784.762,0.8786,1.19034,1.73358,0.84505,0.73538,0.80222,0.46373,0.85283,0.98393,1.72271,0.009571,0.009571,0.009571
