epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.459,0.57793,3.81657,3.55239,0.27889,0.21827,0.15568,0.05342,0.66418,2.87682,3.18874,0.0700365,0.00332928,0.00332928
2,326.227,0.66866,2.75878,2.9491,0.41569,0.32977,0.29921,0.12254,0.69635,2.80049,2.90137,0.0400145,0.00664062,0.00664062
3,481.883,0.69902,2.27459,2.57335,0.59962,0.44019,0.48011,0.22431,0.71433,2.1467,2.44779,0.00997052,0.00992997,0.00992997
4,637.742,0.70372,1.94597,2.32802,0.75076,0.54704,0.63395,0.32201,0.70832,1.58987,2.2788,0.009901,0.009901,0.009901
5,791.922,0.70284,1.74842,2.18229,0.79109,0.56624,0.66926,0.35338,0.70032,1.42879,2.1431,0.009868,0.009868,0.009868
6,944.426,0.7005,1.6058,2.09053,0.76462,0.57703,0.6745,0.35462,0.69585,1.38996,2.06201,0.009835,0.009835,0.009835
7,1096.6,0.69746,1.5354,2.02198,0.8027,0.63627,0.72384,0.38639,0.69219,1.25408,2.01335,0.009802,0.009802,0.009802
8,1251.71,0.69333,1.44087,1.96977,0.80702,0.65708,0.7373,0.39077,0.69766,1.19956,1.99705,0.009769,0.009769,0.009769
9,1409.09,0.69066,1.35939,1.92242,0.82917,0.67528,0.76026,0.4217,0.6825,1.1064,1.91615,0.009736,0.009736,0.009736
10,1563.7,0.69184,1.35053,1.91273,0.79664,0.70765,0.76481,0.41461,0.68751,1.07776,1.91344,0.009703,0.009703,0.009703
11,1718.57,0.68805,1.28329,1.87404,0.82558,0.69634,0.77919,0.42038,0.69319,1.03816,1.9029,0.00967,0.00967,0.00967
12,1873.64,0.68735,1.26277,1.85585,0.83369,0.72545,0.79319,0.45436,0.67276,0.99878,1.81542,0.009637,0.009637,0.009637
13,2029.39,0.68566,1.23395,1.82763,0.84543,0.71304,0.79474,0.45223,0.67347,0.99923,1.80725,0.009604,0.009604,0.009604
14,2184.5,0.68455,1.2096,1.81233,0.85592,0.71634,0.81189,0.44232,0.67722,0.95641,1.81421,0.009571,0.009571,0.009571
15,2340.21,0.68162,1.20761,1.79307,0.85016,0.73305,0.8164,0.47697,0.67432,0.9383,1.76961,0.009538,0.009538,0.009538
16,2496.85,0.6816,1.155,1.77612,0.85244,0.73355,0.81827,0.4801,0.66361,0.94201,1.72791,0.009505,0.009505,0.009505
17,2654.02,0.67966,1.15034,1.76309,0.85024,0.73896,0.82556,0.47636,0.66409,0.91205,1.73112,0.009472,0.009472,0.009472
18,2811.23,0.67853,1.13129,1.75096,0.85133,0.74472,0.81847,0.46806,0.66792,0.90806,1.73204,0.009439,0.009439,0.009439
19,2967.74,0.67908,1.11661,1.73587,0.86988,0.74714,0.82467,0.47424,0.66735,0.90061,1.72044,0.009406,0.009406,0.009406
20,3124.25,0.67527,1.09422,1.72163,0.86132,0.75597,0.82668,0.48993,0.66188,0.86828,1.6952,0.009373,0.009373,0.009373
21,3279.92,0.67643,1.10041,1.71259,0.85181,0.75778,0.82692,0.48428,0.65741,0.8661,1.67171,0.00934,0.00934,0.00934
22,3437.01,0.67393,1.07404,1.69509,0.87037,0.77093,0.83986,0.482,0.66461,0.85455,1.69299,0.009307,0.009307,0.009307
23,3594.89,0.67559,1.08957,1.69916,0.86674,0.7707,0.84208,0.49391,0.65854,0.8423,1.67026,0.009274,0.009274,0.009274
24,3751.46,0.67414,1.07113,1.68898,0.86159,0.76712,0.83622,0.47659,0.66458,0.84447,1.69109,0.009241,0.009241,0.009241
25,3909,0.67122,1.05446,1.67053,0.87944,0.77717,0.85738,0.51197,0.65062,0.81495,1.62694,0.009208,0.009208,0.009208
26,4065.69,0.67102,1.04463,1.66236,0.8555,0.77818,0.83705,0.47921,0.65575,0.83189,1.65149,0.009175,0.009175,0.009175
27,4222.66,0.67092,1.04125,1.6573,0.87765,0.77809,0.85012,0.50679,0.65686,0.81092,1.61737,0.009142,0.009142,0.009142
28,4378.56,0.67095,1.03387,1.65833,0.88772,0.78281,0.85278,0.48892,0.65471,0.81364,1.62755,0.009109,0.009109,0.009109
29,4534.43,0.66956,1.0281,1.64361,0.87687,0.79313,0.85798,0.5049,0.65366,0.79797,1.62365,0.009076,0.009076,0.009076
30,4691.35,0.66884,1.00243,1.63042,0.87024,0.78963,0.85397,0.50169,0.65627,0.79383,1.60547,0.009043,0.009043,0.009043
31,4846.72,0.66867,1.01899,1.6385,0.87551,0.78596,0.85086,0.50105,0.65293,0.7888,1.61246,0.00901,0.00901,0.00901
32,5003.36,0.66939,1.00297,1.62626,0.89763,0.79188,0.86365,0.52518,0.64794,0.76762,1.58097,0.008977,0.008977,0.008977
33,5162.68,0.66766,0.99972,1.62041,0.86105,0.79842,0.85837,0.50227,0.65429,0.78201,1.60193,0.008944,0.008944,0.008944
34,5321.86,0.66682,0.99171,1.61101,0.88355,0.79571,0.85929,0.51543,0.64915,0.77377,1.5801,0.008911,0.008911,0.008911
35,5478.27,0.66538,0.99219,1.61036,0.88577,0.78845,0.8638,0.52088,0.64566,0.769,1.58131,0.008878,0.008878,0.008878
36,5633.25,0.66496,0.96976,1.59932,0.87713,0.80307,0.86042,0.50981,0.6517,0.76557,1.58233,0.008845,0.008845,0.008845
37,5788.9,0.66438,0.98043,1.59637,0.8862,0.80457,0.8696,0.52683,0.64885,0.74367,1.57062,0.008812,0.008812,0.008812
38,5945.66,0.6649,0.97414,1.60116,0.88461,0.81168,0.86317,0.51283,0.65042,0.7483,1.56142,0.008779,0.008779,0.008779
39,6102.15,0.66513,0.9653,1.59375,0.87817,0.81079,0.86854,0.5177,0.64727,0.74319,1.55779,0.008746,0.008746,0.008746
40,6259.02,0.66425,0.96741,1.58978,0.89555,0.8048,0.86699,0.52393,0.64533,0.74383,1.55269,0.008713,0.008713,0.008713
41,6415.33,0.66363,0.97193,1.58994,0.9005,0.80235,0.87257,0.52882,0.64623,0.73644,1.54791,0.00868,0.00868,0.00868
42,6572.04,0.66359,0.95458,1.5805,0.88171,0.80793,0.86591,0.51163,0.6486,0.73108,1.55127,0.008647,0.008647,0.008647
43,6728.21,0.66243,0.95062,1.57098,0.9135,0.79781,0.87458,0.52163,0.64843,0.72703,1.53854,0.008614,0.008614,0.008614
44,6882.95,0.66314,0.95166,1.57438,0.90416,0.80922,0.87293,0.52292,0.64607,0.72186,1.54096,0.008581,0.008581,0.008581
45,7038.01,0.6605,0.92822,1.56291,0.89996,0.80288,0.86919,0.52718,0.64522,0.72696,1.53425,0.008548,0.008548,0.008548
46,7193.18,0.661,0.94419,1.56399,0.88781,0.81879,0.87511,0.52663,0.64399,0.7168,1.53406,0.008515,0.008515,0.008515
47,7348.09,0.66027,0.93871,1.56301,0.89535,0.81249,0.87311,0.53163,0.6414,0.71176,1.52751,0.008482,0.008482,0.008482
48,7502.26,0.66036,0.92785,1.55359,0.89585,0.80763,0.87573,0.5319,0.64064,0.70489,1.51362,0.008449,0.008449,0.008449
49,7656.92,0.65949,0.92117,1.54839,0.89761,0.81521,0.87622,0.53499,0.63862,0.70817,1.50595,0.008416,0.008416,0.008416
50,7812.1,0.66035,0.92381,1.54744,0.88808,0.81661,0.87333,0.53264,0.63784,0.70803,1.51033,0.008383,0.008383,0.008383
51,7966.44,0.66037,0.92572,1.54511,0.89331,0.82426,0.87654,0.53386,0.63833,0.70324,1.49642,0.00835,0.00835,0.00835
52,8120.72,0.65944,0.91653,1.539,0.88812,0.81421,0.87352,0.53099,0.64002,0.6983,1.50954,0.008317,0.008317,0.008317
53,8276.49,0.65886,0.91986,1.53932,0.8974,0.8211,0.87811,0.53725,0.64246,0.70066,1.50239,0.008284,0.008284,0.008284
54,8431.29,0.65933,0.91025,1.53568,0.89468,0.80398,0.87528,0.52496,0.6402,0.69732,1.50774,0.008251,0.008251,0.008251
55,8586.4,0.65836,0.92651,1.53708,0.90206,0.813,0.87908,0.54011,0.63679,0.6894,1.49807,0.008218,0.008218,0.008218
56,8739.67,0.65768,0.90913,1.5345,0.8956,0.81804,0.8788,0.53548,0.63729,0.68924,1.49395,0.008185,0.008185,0.008185
57,8893.95,0.65813,0.91222,1.53507,0.90692,0.82293,0.88139,0.5384,0.63494,0.68829,1.48812,0.008152,0.008152,0.008152
58,9048.17,0.65518,0.89726,1.51553,0.89952,0.81976,0.87838,0.53885,0.63705,0.68423,1.48621,0.008119,0.008119,0.008119
59,9202.64,0.65639,0.8983,1.52188,0.89765,0.81889,0.88024,0.53682,0.63434,0.68146,1.47778,0.008086,0.008086,0.008086
60,9358.34,0.65483,0.8859,1.50814,0.91059,0.81302,0.88187,0.54008,0.63414,0.67938,1.47665,0.008053,0.008053,0.008053
61,9515.13,0.65401,0.89106,1.50852,0.9035,0.81629,0.87991,0.53708,0.63391,0.67096,1.4784,0.00802,0.00802,0.00802
62,9671.07,0.65563,0.89677,1.51286,0.89405,0.83329,0.8838,0.53626,0.63584,0.67963,1.48386,0.007987,0.007987,0.007987
63,9827.44,0.65519,0.88973,1.50624,0.90032,0.82091,0.88031,0.53483,0.63764,0.67548,1.47833,0.007954,0.007954,0.007954
64,9983.78,0.65662,0.89192,1.50186,0.90111,0.82001,0.88471,0.54647,0.63379,0.66475,1.46476,0.007921,0.007921,0.007921
